 ,,,,,,,,,,,,,,,,,,,,,,,,,
Full Courses on Most important topics and questions,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Num,Type,Full Course,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,Complete Guide for Data Structures,https://www.youtube.com/watch?v=2h433OItQiA,,,,,,,,,,,,,,,,,,,,,,,
2,Understanding Big o and Time Complexity,https://www.youtube.com/watch?v=7P0qxxEy2-w,,,,,,,,,,,,,,,,,,,,,,,
3,Using Data Structures in System Design,https://www.youtube.com/watch?v=r9ybzRjyglw,,,,,,,,,,,,,,,,,,,,,,,
4,Full Course on DSA coding Patterns,https://www.youtube.com/watch?v=GLTR39VIAdc,,,,,,,,,,,,,,,,,,,,,,,
5,10 Golden Rules for Any Coding Interview,https://www.youtube.com/watch?v=PKXD2M2kaXQ,,,,,,,,,,,,,,,,,,,,,,,
6,Arrays for Technical Interviews - Full Course,https://www.youtube.com/watch?v=-o5w6h80ZA8,,,,,,,,,,,,,,,,,,,,,,,
7,Dynamic Programming for Technical Interviews - Full Course,https://www.youtube.com/watch?v=EeAJ6YKGJM8,,,,,,,,,,,,,,,,,,,,,,,
8,Graph Algorithms for Technical Interviews - Full Course,https://www.youtube.com/watch?v=Ob0YvI9M02o,,,,,,,,,,,,,,,,,,,,,,,
9,Intervals for Technical Interviews - Full Course,https://www.youtube.com/watch?v=GOCfvrFsIOk,,,,,,,,,,,,,,,,,,,,,,,
10,Hashing Algorithms for Technical Interviews - Full Course,https://www.youtube.com/watch?v=irua6hf3kBM,,,,,,,,,,,,,,,,,,,,,,,
11,Linked Lists for Technical Interviews - Full Course,https://www.youtube.com/watch?v=Laugw5Uj57g,,,,,,,,,,,,,,,,,,,,,,,
12,Strings for Technical Interviews - Full Course,https://www.youtube.com/watch?v=5xDT3AG7988,,,,,,,,,,,,,,,,,,,,,,,
13,Binary For Technical Interviews - Full Course,https://www.youtube.com/watch?v=CzAZzRcd8Oc,,,,,,,,,,,,,,,,,,,,,,,
14,Tree Algorithm for Technical Interviews - Full Course,https://www.youtube.com/watch?v=1R2aM_BaiMg,,,,,,,,,,,,,,,,,,,,,,,
15,Master the TWO Pointer Coding Pattern,https://www.youtube.com/watch?v=Fue0SgYBxrc,,,,,,,,,,,,,,,,,,,,,,,
16,Sliding Window Coding Pattern,https://www.youtube.com/watch?v=CHVSDFeC-L4,,,,,,,,,,,,,,,,,,,,,,,
17,Intervals Coding Pattern,https://www.youtube.com/watch?v=HNSHVtSGMFk,,,,,,,,,,,,,,,,,,,,,,,
18,Master BFS - Breadth First Search,https://www.youtube.com/watch?v=A1UG1Fc-TVc,,,,,,,,,,,,,,,,,,,,,,,
19,MAster DFS - Depth First Search,https://www.youtube.com/watch?v=6gNAe0Fug8I,,,,,,,,,,,,,,,,,,,,,,,
20,Entire Blind 75 Solved,https://www.youtube.com/watch?v=PieZjz2Pyhw,,,,,,,,,,,,,,,,,,,,,,,
21,Entire Blind 75 Solved - Part 2,https://www.youtube.com/watch?v=ERL4FPOsY3Y,,,,,,,,,,,,,,,,,,,,,,,
22,10 Must do things before interview,https://www.youtube.com/watch?v=FfeEUfh5zUE,,,,,,,,,,,,,,,,,,,,,,,
23,Using Algorithms in System Design,https://www.youtube.com/watch?v=JZOT8qCUZYc,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Most Popular Tech Interview Questions asked @ FAANG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Num,LeetCode Problem,Topic,Video Explanation,Asked By Company + Number of Times,,,,,Level,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,Two Sum,Array,https://www.youtube.com/watch?v=NP9nLwKzXGA,Amazon - 108,Apple - 43,Google - 39,Facebook - 22,Bloomberg 13,Easy,,,,,,,,,,,,,,,,
2,Best Time to Buy and Sell Stock,Array,https://www.youtube.com/watch?v=CCQBvgPages,Amazon - 62,Microsoft - 19,Bloomberg - 15,Facebook - 12,Google - 12,Easy,,,,,,,,,,,,,,,,
3,Contains Duplicate,Array,https://www.youtube.com/watch?v=XECOM0RnIig,Amazon -17,Apple - 15,Google - 8,Microsoft - 6,Facebook - 5,Easy,,,,,,,,,,,,,,,,
4,Contains Duplicate II,Array,https://www.youtube.com/watch?v=Te_MCY4uG-M,Amazon - 6,Facebook - 5,Google - 2,Microsoft - 2,Bloomberg - 3,Easy,,,,,,,,,,,,,,,,
5,Product of Array Except Self,Array,https://www.youtube.com/watch?v=UxmLwxH-lhM,Amazon - 34,Facebook - 13,Microsoft - 13,Apple - 8,Google - 2,Medium,,,,,,,,,,,,,,,,
6,Maximum Subarray,Array,https://www.youtube.com/watch?v=nr2djEYM7_A,Linked In - 39,Amazon - 32,Apple - 19,Microsoft - 16,Google - 15,Medium,,,,,,,,,,,,,,,,
7,Maximum Product Subarray,Array,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Linked In - 26,Amazon - 21,Microsoft - 4,Google - 3,Infosys - 2,Medium,,,,,,,,,,,,,,,,
8,Find Minimum in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=Dr69TSfv9JI,Amazon - 8,Microsoft - 7,Facebook - 5,Uber - 3,Apple - 2,Medium,,,,,,,,,,,,,,,,
9,Search in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=sE_4DzVc71w,Amazon - 27,Facebook - 22,Microsoft - 22,Linked in - 21,Apple - 5,Medium,,,,,,,,,,,,,,,,
10,Two Sum - II,Array,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Amazon - 10,Apple - 4,Google - 2,Facebook - 2,,Medium,,,,,,,,,,,,,,,,
11,3 Sum,Array,https://www.youtube.com/watch?v=WtloSzFYvho,Amazon - 40,Microsoft - 24,Facebook - 21,Apple - 16,Google - 8,Medium,,,,,,,,,,,,,,,,
12,Container With Most Water,Array,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Amazon - 31,Microsoft - 8,Facebook - 8,Apple - 5,Google - 5,Medium,,,,,,,,,,,,,,,,
13,Verifying an Alien Dictionary,Array,https://www.youtube.com/watch?v=8NoyVvm1v88,Faccebook - 10,Uber - 4,Amazon - 2,Linked In - 3,Apple - 2,Easy,,,,,,,,,,,,,,,,
14,Next Permutation,Array,https://www.youtube.com/watch?v=oc3OOtGmH6U,Facebook - 33,Amazon - 19,Google - 12,Apple - 10,Microsoft - 8,Medium,,,,,,,,,,,,,,,,
15,Remove Duplicates from Sorted Array,Array,https://www.youtube.com/watch?v=0F49FLuzScU,Amazon - 3,Apple - 2,Microsoft - 6,Google - 4,Facebook - 4,Medium,,,,,,,,,,,,,,,,
16,Find First and Last Position of Element in Sorted Array,Array,https://www.youtube.com/watch?v=aPD6g96fRO4,Facebook - 23,Amazon - 21,Microsoft - 8,Bloomberg - 6,Google - 6,Medium,,,,,,,,,,,,,,,,
17,Trapping Rain Water,Array,https://www.youtube.com/watch?v=AFl_VxaO_F0,Amazon - 51,Goldman Sachs- 44,Bloomberg - 20,Facebook - 19,Microsoft - 12,Hard,,,,,,,,,,,,,,,,
18,Median of Two Sorted Arrays,Array,https://www.youtube.com/watch?v=LRM4qiHLYCE,Amazon - 39,Apple - 20,Microsoft - 18,Google - 15,Bloomberg - 9,Hard,,,,,,,,,,,,,,,,
19,Climbing Stairs,Dynamic Programming,https://www.youtube.com/watch?v=N9syEXfu1Rw,Amazon - 16,Microsoft - 5,Uber - 3,Google - 2,Apple - 2,Easy,,,,,,,,,,,,,,,,
20,Coin Change,Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Amazon - 28,Microsoft - 13,Adobe - 6,Apple - 6,Google - 3,Medium,,,,,,,,,,,,,,,,
21,Longest Increasing Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Google - 12,Microsoft - 10,Amazon - 6,tiktok - 3,Facebook - 3,Medium,,,,,,,,,,,,,,,,
22,Longest Common Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=lPnPdSIliII,DoorDash - 7,Amazon - 6,Google - 4,Bloomberg - 3,Microsoft - 2,Medium,,,,,,,,,,,,,,,,
23,Word Break Problem,Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Amazon - 35,Facebook - 20,Apple - 6,Microsoft - 6,Google - 5,Medium,,,,,,,,,,,,,,,,
24,Combination Sum,Dynamic Programming,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Amazon - 5,Google - 3,Microsoft - 2,Facebook - 3,Apple - 4,Medium,,,,,,,,,,,,,,,,
25,House Robber,Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Amazon - 25,Apple - 11,Google - 5,Microsoft - 5,Bloomberg - 3,Medium,,,,,,,,,,,,,,,,
26,House Robber II,Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Google - 11,Tiktok - 2,Amazon - 6,Microsoft - 2,Facebook - 2,Medium,,,,,,,,,,,,,,,,
27,Decode Ways,Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Amazon - 9,Tiktok - 7,Google - 6,Microsoft - 6,Lyft - 5,Medium,,,,,,,,,,,,,,,,
